European Union - 28 countries;13471,418
Belgium;238,846
Bulgaria;116,795
Czechia;41,972
Denmark;174,020
Germany;3036,798
Estonia;23,014
Ireland;138,793
Greece;379,887
Spain;1330,438
France;1670,821
Croatia;58,919
Italy;864,194
Cyprus;25,569
Latvia;52,189
Lithuania;38,478
Luxembourg;27,462
Hungary;146,260
Malta;NA
Netherlands;533,345
Austria;360,246
Poland;1216,818
Portugal;133,314
Romania;174,152
Slovenia;54,028
Slovakia;128,789
Finland;277,905
Sweden;449,418
United Kingdom;1402,948
Iceland;NA
Norway;250,504
Switzerland;281,484
Turkey;NA